airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-12,banglore,delhi,17:45:00,20:45:00,180,0.0,no info,8016
Jet Airways,2019-05-21,delhi,cochin,21:50:00,12:35:00,885,1.0,in-flight meal not included,12898
Indigo,2019-04-24,delhi,cochin,20:25:00,01:30:00,305,1.0,no info,5065
Goair,2019-04-21,delhi,cochin,10:35:00,19:35:00,540,1.0,no info,7031
Jet Airways,2019-06-06,delhi,cochin,15:00:00,19:00:00,1680,1.0,in-flight meal not included,10262
Spicejet,2019-04-15,delhi,cochin,08:45:00,13:15:00,270,1.0,no check-in baggage included,5726
Indigo,2019-06-03,delhi,cochin,18:35:00,01:30:00,415,1.0,no info,6628
Vistara,2019-04-12,banglore,delhi,09:45:00,12:35:00,170,0.0,no info,5403
Jet Airways,2019-05-09,delhi,cochin,19:30:00,04:25:00,535,2.0,no info,15129
Jet Airways,2019-06-12,kolkata,banglore,21:10:00,09:20:00,730,1.0,in-flight meal not included,8529
Jet Airways,2019-05-12,banglore,delhi,18:55:00,22:00:00,185,0.0,in-flight meal not included,4030
Jet Airways,2019-03-03,delhi,cochin,05:25:00,18:50:00,805,2.0,no info,18799
Jet Airways,2019-05-21,banglore,delhi,11:10:00,14:05:00,175,0.0,in-flight meal not included,4030
Spicejet,2019-03-24,banglore,new delhi,05:45:00,08:35:00,170,0.0,no info,4377
Jet Airways,2019-06-06,banglore,delhi,06:00:00,08:45:00,165,0.0,no info,8016
Multiple Carriers,2019-05-18,delhi,cochin,11:40:00,01:30:00,830,1.0,no info,8405
Goair,2019-06-15,delhi,cochin,10:35:00,19:35:00,540,1.0,no info,4959
Jet Airways,2019-06-24,delhi,cochin,17:30:00,12:35:00,1145,1.0,in-flight meal not included,10262
Air Asia,2019-05-15,delhi,cochin,07:55:00,13:25:00,330,1.0,no info,6451
Multiple Carriers,2019-03-21,delhi,cochin,07:10:00,21:20:00,850,2.0,in-flight meal not included,5935
Multiple Carriers Premium Economy,2019-03-21,delhi,cochin,07:30:00,19:15:00,705,1.0,no info,10161
Jet Airways,2019-06-15,delhi,cochin,14:35:00,04:25:00,830,2.0,no info,13376
